waypoint_id,row,col,cost,roughness,slope,shadow_risk,hazard_clearance,hard_hazard
88,328.500,53.500,4.393457,0.013987,0.040306,0.513007,29.284,0
89,326.000,56.000,4.215098,0.028059,0.029698,0.478771,30.698,0
90,323.500,58.500,4.098189,0.020215,0.019970,0.472698,30.698,0
91,321.000,61.000,3.871957,0.007010,0.013924,0.448908,31.213,0
92,318.500,63.500,4.037952,0.018884,0.013215,0.453699,30.456,0
93,316.000,66.000,4.139425,0.005080,0.015723,0.430712,28.284,0
94,313.500,68.500,4.249849,0.024224,0.018064,0.414672,28.284,0
95,311.000,71.000,4.088272,0.004612,0.015473,0.387535,27.870,0
96,308.500,73.500,3.926129,0.006314,0.010412,0.392940,29.284,0
97,306.000,76.000,3.857696,0.012068,0.004741,0.385020,29.870,0
98,301.000,76.000,4.116230,0.018070,0.007034,0.372784,27.799,0
99,296.000,76.000,4.482499,0.021955,0.015995,0.388242,25.728,0
100,291.000,76.000,4.856998,0.014803,0.027380,0.422619,23.657,0
101,286.000,76.000,5.265823,0.020942,0.031398,0.446991,21.799,0
102,281.000,76.000,6.058286,0.022414,0.020962,0.505330,17.970,0
103,278.500,73.500,6.018731,0.021699,0.014782,0.503672,17.970,0
104,276.000,71.000,6.369099,0.006733,0.010794,0.525853,16.000,0
105,271.000,71.000,6.133354,0.003553,0.016307,0.490335,16.728,0
106,266.000,71.000,6.691593,0.019460,0.009013,0.491214,14.657,0
107,263.500,68.500,6.340413,0.008897,0.002304,0.507321,15.828,0
108,261.000,66.000,6.167306,0.025930,0.013611,0.464721,16.970,0
109,256.000,66.000,6.238326,0.009819,0.026194,0.522575,17.000,0
110,251.000,66.000,6.408584,0.034739,0.034401,0.542234,17.414,0
111,246.000,66.000,6.044025,0.009934,0.033564,0.624211,19.243,0
112,241.000,66.000,5.711157,0.015427,0.022127,0.651040,21.314,0
113,236.000,66.000,5.331266,0.019995,0.010736,0.640896,23.385,0
114,233.500,68.500,5.713496,0.021456,0.013386,0.644988,21.213,0
115,231.000,71.000,5.806299,0.021178,0.022310,0.635211,20.799,0
116,228.500,73.500,5.965315,0.033308,0.020449,0.591355,19.799,0
117,226.000,76.000,5.556817,0.010849,0.015905,0.569233,20.799,0
118,223.500,78.500,5.453966,0.014461,0.014266,0.547278,21.213,0
119,221.000,81.000,5.143379,0.019905,0.014527,0.547161,23.385,0
120,218.500,83.500,5.078652,0.022171,0.022613,0.543241,24.142,0
